# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for NCPA calibration mode
# Source is NCPA MGG Lamps
# nm, W/nm, photons/s/nm
2.184610000000000127e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.187299999999999898e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.189989999999999952e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.192680000000000007e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.195370000000000061e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.198060000000000116e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.200759999999999934e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.203449999999999989e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.206140000000000043e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.208830000000000098e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.211519999999999868e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.214209999999999923e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.216899999999999977e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.219590000000000032e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.222290000000000134e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.224979999999999905e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.227669999999999959e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.230360000000000014e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.233050000000000068e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.235740000000000123e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.238429999999999893e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.241119999999999948e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.243810000000000002e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.246500000000000057e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.249190000000000111e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.251879999999999882e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.254569999999999936e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.257259999999999991e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.259950000000000045e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.262640000000000100e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.265329999999999870e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.268019999999999925e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.270709999999999980e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.273400000000000034e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.276090000000000089e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.278779999999999859e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.281469999999999914e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.284159999999999968e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.286850000000000023e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.289540000000000077e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.292230000000000132e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.294919999999999902e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.297609999999999957e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.300289999999999964e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.302980000000000018e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.305670000000000073e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.308360000000000127e+02,0.000000000000000000e+00,0.000000000000000000e+00
2.311049999999999898e+02,0.000000000000000000e+00,0.000000000000000000e+00
