# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for Spectrograph Grid Pinholes calibration mode
# Source is Thorlabs OSL2IR QTH
# nm, W/nm, W/mm^2/nm, W/mm^2/sr/nm, photons/s/nm, photons/s/mm^2/nm, photons/s/mm^2/sr/nm
8.200000000000000000e+02,1.214022190822277599e-15,3.714295130577041507e-18,1.065249471100554641e-15,5.005018584586565339e+03,1.531283060368614812e+01,4.391677055316516089e+03
8.210000000000000000e+02,1.210861972580742830e-15,3.704626457866749231e-18,1.062476522767479161e-15,4.998077825484112509e+03,1.529159538415586539e+01,4.385586853655608138e+03
8.220000000000000000e+02,1.214247812825559108e-15,3.714985420025187465e-18,1.065447444186616026e-15,5.018158381813020242e+03,1.535303175093365802e+01,4.403206632083451041e+03
8.230000000000000000e+02,1.206172384263352811e-15,3.690278684668389775e-18,1.058361621481040999e-15,4.990849030913723254e+03,1.526947892147855868e+01,4.379243913921050080e+03
8.240000000000000000e+02,1.199210560252484511e-15,3.668979017150790313e-18,1.052252936317345996e-15,4.968071903710645529e+03,1.519979240891026606e+01,4.359258016719422812e+03
8.250000000000000000e+02,1.196422867954586520e-15,3.660450085796894581e-18,1.049806862622502177e-15,4.962538290912690172e+03,1.518286234681970193e+01,4.354402522189866431e+03
8.260000000000000000e+02,1.201724192587961704e-15,3.676669463350459996e-18,1.054458534811468010e-15,4.990569045136533532e+03,1.526862230632217354e+01,4.378998239086337890e+03
8.270000000000000000e+02,1.196209304291447988e-15,3.659796688783181976e-18,1.049619470183612288e-15,4.973680717189681673e+03,1.521695254712766143e+01,4.364179496439655850e+03
8.280000000000000000e+02,1.196635034070341191e-15,3.661099207021018711e-18,1.049993028776878636e-15,4.981467110157076604e+03,1.524077497945401660e+01,4.371011703505558216e+03
8.290000000000000000e+02,1.192741070783702480e-15,3.649185644827883355e-18,1.046576252409086564e-15,4.971253633382048974e+03,1.520952689573813821e+01,4.362049840357631183e+03
8.300000000000000000e+02,1.194002914085232894e-15,3.653046248419693483e-18,1.047683462738295221e-15,4.982515931074627588e+03,1.524398384207313306e+01,4.371931996343816536e+03
8.310000000000000000e+02,1.184509708580042133e-15,3.624001831235181603e-18,1.039353604997718179e-15,4.948856550176044038e+03,1.514100312597504328e+01,4.342397414545519496e+03
8.320000000000000000e+02,1.179670409590957696e-15,3.609196018947361629e-18,1.035107339379518750e-15,4.934569033583092278e+03,1.509729053677328103e+01,4.329860766031974890e+03
8.330000000000000000e+02,1.183664059275791026e-15,3.621414571202621218e-18,1.038611586045428685e-15,4.957225547394338719e+03,1.516660803324174722e+01,4.349740830446667132e+03
8.340000000000000000e+02,1.172723266535302646e-15,3.587941267742555154e-18,1.029011536088901834e-15,4.917301177930831727e+03,1.504445961436546675e+01,4.314709005018321477e+03
8.350000000000000000e+02,1.162281809582494079e-15,3.555995679754844106e-18,1.019849630663627130e-15,4.879363051791768157e+03,1.492838809751279605e+01,4.281420018120305031e+03
8.360000000000000000e+02,1.161059189406359020e-15,3.552255079129012280e-18,1.018776836849946801e-15,4.880067784533514896e+03,1.493054422399122316e+01,4.282038389173230826e+03
8.370000000000000000e+02,1.167410549125503580e-15,3.571687034043595335e-18,1.024349867254774496e-15,4.912632627541712282e+03,1.503017620660879672e+01,4.310612563560815943e+03
8.380000000000000000e+02,1.171092577015003773e-15,3.582952180895117492e-18,1.027580679913323219e-15,4.934014980083325099e+03,1.509559541272050787e+01,4.329374609187355418e+03
8.390000000000000000e+02,1.160813547046910418e-15,3.551503537496197947e-18,1.018561296808372011e-15,4.896543820876610880e+03,1.498095257898094701e+01,4.296495364616512234e+03
8.400000000000000000e+02,1.165412952505607223e-15,3.565575396666429153e-18,1.022597066722046701e-15,4.921804324307240677e+03,1.505823696933031997e+01,4.318660311948311573e+03
8.410000000000000000e+02,1.158558436810904875e-15,3.544604038432810235e-18,1.016582539744177714e-15,4.898680972136607124e+03,1.498749118311711293e+01,4.298370618023396673e+03
8.420000000000000000e+02,1.158488454164311817e-15,3.544389926857725580e-18,1.016521133142360158e-15,4.904209544526649552e+03,1.500440582410359625e+01,4.303221689823365523e+03
8.430000000000000000e+02,1.153722600809378847e-15,3.529808821138989029e-18,1.012339312740669948e-15,4.889834854109132721e+03,1.496042652699933662e+01,4.290608550228179411e+03
8.440000000000000000e+02,1.147782476976450997e-15,3.511635040466392486e-18,1.007127123194931813e-15,4.870429414621040451e+03,1.490105567699163380e+01,4.273581156241943972e+03
8.450000000000000000e+02,1.155038175459839114e-15,3.533833815537818782e-18,1.013493669894262817e-15,4.907024928424153586e+03,1.501301947777504786e+01,4.305692061642293083e+03
8.460000000000000000e+02,1.152210906608598887e-15,3.525183799906818484e-18,1.011012869566879381e-15,4.900806571095398795e+03,1.499399444304257756e+01,4.300235734809351925e+03
8.470000000000000000e+02,1.143371490976632882e-15,3.498139649736285218e-18,1.003256682820068738e-15,4.868957530704917190e+03,1.489655245513641901e+01,4.272289644789332669e+03
8.480000000000000000e+02,1.140267868951733306e-15,3.488644132882159014e-18,1.000533395102995740e-15,4.861473870643891132e+03,1.487365623270020620e+01,4.265723072133436290e+03
