# Timestamp Wed May  7 14:21:36 2025
# At the Calibration unit focal plane for spectral calibration mode
# Source is Hector Xe
# nm, W/line, W/mm^2/line, W/mm^2/sr/line, photons/s/line, photons/s/mm^2/line, photons/s/mm^2/sr/line
7.461802989426389559e+02,1.074809353207911789e-14,3.288374114656709921e-17,9.430965131396569743e-15,4.032184839029784052e+04,1.233645037662031001e+02,3.538059517879888153e+04
7.482546555322289805e+02,5.096534834576452616e-15,1.559282413615681579e-17,4.471978418533610951e-15,1.917298098066369857e+04,5.865964430756483239e+01,1.682342217751347198e+04
7.491881159975449691e+02,4.875786188550050965e-15,1.491744470140201418e-17,4.278281482675695793e-15,1.836541512622757000e+04,5.618890040895392701e+01,1.611481972706379202e+04
7.553074679368379520e+02,6.098080783638888091e-15,1.865704921356839390e-17,5.350789613738400383e-15,2.315699324265750329e+04,7.084871091339023508e+01,2.031921244150569692e+04
7.579004136738269608e+02,3.920499610516364936e-14,1.199474995008708070e-16,3.440060789765138268e-14,1.493890536258637730e+05,4.570551005070444717e+02,1.310821264769286208e+05
7.595598989454989578e+02,3.567034546634456561e-15,1.091332526482952106e-17,3.129911209964049824e-15,1.362180190938548003e+04,4.167583828714566607e+01,1.195251403895765907e+04
7.639160477836400105e+02,1.749308030990139897e-13,5.351999617886028753e-16,1.534938544691718913e-13,6.718574546959120780e+05,2.055544693733055283e+03,5.895244779545852216e+05
7.663015578616690391e+02,7.832596366702500846e-15,2.396379140723419367e-17,6.872748455547305175e-15,3.017662542939052582e+04,9.232524227066687672e+01,2.647862166051925669e+04
7.743396896463340227e+02,4.693649153991221448e-15,1.436019730866581391e-17,4.118464486579271382e-15,1.827289506893082580e+04,5.590583573279241136e+01,1.603363756841247960e+04
7.790069919729130561e+02,4.463769978665888258e-15,1.365688306285813861e-17,3.916755924920705390e-15,1.748269494187787132e+04,5.348822219468549122e+01,1.534027275698624362e+04
7.810294896477639668e+02,1.518586990284371261e-14,4.646109688942747767e-17,1.332491284302580783e-14,5.963103177514010167e+04,1.824408586828801617e+02,5.232352879532118823e+04
